Number,Name,Type_1,Type_2,Total,HP,Attack,Defense,Sp_Atk,Sp_Def,Speed,Generation,isLegendary,Color,hasGender,Pr_Male,Egg_Group_1,Egg_Group_2,hasMegaEvolution,Height_m,Weight_kg,Catch_Rate,Body_Style
56,Mankey,Fighting,,305,40,80,35,35,45,70,1,False,Brown,True,0.5,Field,,False,0.51,28.0,190,bipedal_tailed
57,Primeape,Fighting,,455,65,105,60,60,70,95,1,False,Brown,True,0.5,Field,,False,0.99,32.0,75,bipedal_tailed
58,Growlithe,Fire,,350,55,70,45,70,50,60,1,False,Brown,True,0.75,Field,,False,0.71,19.0,190,quadruped
59,Arcanine,Fire,,555,90,110,80,100,80,95,1,False,Brown,True,0.75,Field,,False,1.91,155.0,75,quadruped
60,Poliwag,Water,,300,40,50,40,40,40,90,1,False,Blue,True,0.5,Water_1,,False,0.61,12.4,255,head_legs
61,Poliwhirl,Water,,385,65,65,65,50,50,90,1,False,Blue,True,0.5,Water_1,,False,0.99,20.0,120,bipedal_tailless
62,Poliwrath,Water,Fighting,510,90,95,95,70,90,70,1,False,Blue,True,0.5,Water_1,,False,1.30,54.0,45,bipedal_tailless
63,Abra,Psychic,,310,25,20,15,105,55,90,1,False,Brown,True,0.75,Human-Like,,False,0.89,19.5,200,bipedal_tailed
64,Kadabra,Psychic,,400,40,35,30,120,70,105,1,False,Brown,True,0.75,Human-Like,,False,1.30,56.5,100,bipedal_tailed
65,Alakazam,Psychic,,500,55,50,45,135,95,120,1,False,Brown,True,0.75,Human-Like,,True,1.50,48.0,50,bipedal_tailless
66,Machop,Fighting,,305,70,80,50,35,35,35,1,False,Grey,True,0.75,Human-Like,,False,0.79,19.5,180,bipedal_tailed
67,Machoke,Fighting,,405,80,100,70,50,60,45,1,False,Grey,True,0.75,Human-Like,,False,1.50,70.5,90,bipedal_tailless
68,Machamp,Fighting,,505,90,130,80,65,85,55,1,False,Grey,True,0.75,Human-Like,,False,1.60,130.0,45,bipedal_tailless
69,Bellsprout,Grass,Poison,300,50,75,35,70,30,40,1,False,Green,True,0.5,Grass,,False,0.71,4.0,255,bipedal_tailless
70,Weepinbell,Grass,Poison,390,65,90,50,85,45,55,1,False,Green,True,0.5,Grass,,False,0.99,6.4,120,head_base
71,Victreebel,Grass,Poison,490,80,105,65,100,70,70,1,False,Green,True,0.5,Grass,,False,1.70,15.5,45,head_base
72,Tentacool,Water,Poison,335,40,40,35,50,100,70,1,False,Blue,True,0.5,Water_3,,False,0.89,45.5,190,several_limbs
73,Tentacruel,Water,Poison,515,80,70,65,80,120,100,1,False,Blue,True,0.5,Water_3,,False,1.60,55.0,60,several_limbs
74,Geodude,Rock,Ground,300,40,80,100,30,30,20,1,False,Brown,True,0.5,Mineral,,False,0.41,20.0,255,head_arms
75,Graveler,Rock,Ground,390,55,95,115,45,45,35,1,False,Brown,True,0.5,Mineral,,False,0.99,105.0,120,bipedal_tailless
76,Golem,Rock,Ground,495,80,120,130,55,65,45,1,False,Brown,True,0.5,Mineral,,False,1.40,300.0,45,bipedal_tailless
77,Ponyta,Fire,,410,50,85,55,65,65,90,1,False,Yellow,True,0.5,Field,,False,0.99,30.0,190,quadruped
78,Rapidash,Fire,,500,65,100,70,80,80,105,1,False,Yellow,True,0.5,Field,,False,1.70,95.0,60,quadruped
79,Slowpoke,Water,Psychic,315,90,65,65,40,40,15,1,False,Pink,True,0.5,Monster,Water_1,False,1.19,36.0,190,quadruped
80,Slowbro,Water,Psychic,490,95,75,110,100,80,30,1,False,Pink,True,0.5,Monster,Water_1,True,1.60,78.5,75,bipedal_tailed
81,Magnemite,Electric,Steel,325,25,35,70,95,55,45,1,False,Grey,False,,Mineral,,False,0.30,6.0,190,head_arms
82,Magneton,Electric,Steel,465,50,60,95,120,70,70,1,False,Grey,False,,Mineral,,False,0.99,60.0,60,multiple_bodies
83,Farfetch'd,Normal,Flying,352,52,65,55,58,62,60,1,False,Brown,True,0.5,Flying,Field,False,0.79,15.0,45,two_wings
84,Doduo,Normal,Flying,310,35,85,45,35,35,75,1,False,Brown,True,0.5,Flying,,False,1.40,39.2,190,head_legs
85,Dodrio,Normal,Flying,460,60,110,70,60,60,100,1,False,Brown,True,0.5,Flying,,False,1.80,85.2,45,head_legs
86,Seel,Water,,325,65,45,55,45,70,45,1,False,White,True,0.5,Water_1,Field,False,1.09,90.0,190,with_fins
87,Dewgong,Water,Ice,475,90,70,80,70,95,70,1,False,White,True,0.5,Water_1,Field,False,1.70,120.0,75,with_fins
88,Grimer,Poison,,325,80,80,50,40,50,25,1,False,Purple,True,0.5,Amorphous,,False,0.89,30.0,190,head_arms
89,Muk,Poison,,500,105,105,75,65,100,50,1,False,Purple,True,0.5,Amorphous,,False,1.19,30.0,75,head_arms
90,Shellder,Water,,305,30,65,100,45,25,40,1,False,Purple,True,0.5,Water_3,,False,0.30,4.0,190,head_only
91,Cloyster,Water,Ice,525,50,95,180,85,45,70,1,False,Purple,True,0.5,Water_3,,False,1.50,132.5,60,head_only
92,Gastly,Ghost,Poison,310,30,35,30,100,35,80,1,False,Purple,True,0.5,Amorphous,,False,1.30,0.1,190,head_only
93,Haunter,Ghost,Poison,405,45,50,45,115,55,95,1,False,Purple,True,0.5,Amorphous,,False,1.60,0.1,90,head_arms
94,Gengar,Ghost,Poison,500,60,65,60,130,75,110,1,False,Purple,True,0.5,Amorphous,,True,1.50,40.5,45,bipedal_tailed
95,Onix,Rock,Ground,385,35,45,160,30,45,70,1,False,Grey,True,0.5,Mineral,,False,8.79,210.0,45,serpentine_body
96,Drowzee,Psychic,,328,60,48,45,43,90,42,1,False,Yellow,True,0.5,Human-Like,,False,0.99,32.4,190,bipedal_tailless
97,Hypno,Psychic,,483,85,73,70,73,115,67,1,False,Yellow,True,0.5,Human-Like,,False,1.60,75.6,75,bipedal_tailless
98,Krabby,Water,,325,30,105,90,25,25,50,1,False,Red,True,0.5,Water_3,,False,0.41,6.5,225,insectoid
99,Kingler,Water,,475,55,130,115,50,50,75,1,False,Red,True,0.5,Water_3,,False,1.30,60.0,60,insectoid
100,Voltorb,Electric,,330,40,30,50,55,55,100,1,False,Red,False,,Mineral,,False,0.51,10.4,190,head_only
101,Electrode,Electric,,480,60,50,70,80,80,140,1,False,Red,False,,Mineral,,False,1.19,66.6,60,head_only
102,Exeggcute,Grass,Psychic,325,60,40,80,60,45,40,1,False,Pink,True,0.5,Grass,,False,0.41,2.5,90,multiple_bodies
103,Exeggutor,Grass,Psychic,520,95,95,85,125,65,55,1,False,Yellow,True,0.5,Grass,,False,2.01,120.0,45,head_legs
104,Cubone,Ground,,320,50,50,95,40,50,35,1,False,Brown,True,0.5,Monster,,False,0.41,6.5,190,bipedal_tailed
105,Marowak,Ground,,425,60,80,110,50,80,45,1,False,Brown,True,0.5,Monster,,False,0.99,45.0,75,bipedal_tailed
106,Hitmonlee,Fighting,,455,50,120,53,35,110,87,1,False,Brown,True,1,Human-Like,,False,1.50,49.8,45,bipedal_tailless
107,Hitmonchan,Fighting,,455,50,105,79,35,110,76,1,False,Brown,True,1,Human-Like,,False,1.40,50.2,45,bipedal_tailless
108,Lickitung,Normal,,385,90,55,75,60,75,30,1,False,Pink,True,0.5,Monster,,False,1.19,65.5,45,bipedal_tailed
109,Koffing,Poison,,340,40,65,95,60,45,35,1,False,Purple,True,0.5,Amorphous,,False,0.61,1.0,190,head_only
110,Weezing,Poison,,490,65,90,120,85,70,60,1,False,Purple,True,0.5,Amorphous,,False,1.19,9.5,60,multiple_bodies
111,Rhyhorn,Ground,Rock,345,80,85,95,30,30,25,1,False,Grey,True,0.5,Monster,Field,False,0.99,115.0,120,quadruped
112,Rhydon,Ground,Rock,485,105,130,120,45,45,40,1,False,Grey,True,0.5,Monster,Field,False,1.91,120.0,60,bipedal_tailed
113,Chansey,Normal,,450,250,5,5,35,105,50,1,False,Pink,True,0,Fairy,,False,1.09,34.6,30,bipedal_tailed
114,Tangela,Grass,,435,65,55,115,100,40,60,1,False,Blue,True,0.5,Grass,,False,0.99,35.0,45,head_legs
115,Kangaskhan,Normal,,490,105,95,80,40,80,90,1,False,Brown,True,0,Monster,,True,2.21,80.0,45,bipedal_tailed
116,Horsea,Water,,295,30,40,70,70,25,60,1,False,Blue,True,0.5,Water_1,Dragon,False,0.41,8.0,225,head_base
117,Seadra,Water,,440,55,65,95,95,45,85,1,False,Blue,True,0.5,Water_1,Dragon,False,1.19,25.0,75,head_base
118,Goldeen,Water,,320,45,67,60,35,50,63,1,False,Red,True,0.5,Water_2,,False,0.61,15.0,225,with_fins
119,Seaking,Water,,450,80,92,65,65,80,68,1,False,Red,True,0.5,Water_2,,False,1.30,39.0,60,with_fins
120,Staryu,Water,,340,30,45,55,70,55,85,1,False,Brown,False,,Water_3,,False,0.79,34.5,225,head_base
121,Starmie,Water,Psychic,520,60,75,85,100,85,115,1,False,Purple,False,,Water_3,,False,1.09,80.0,60,head_base
122,Mr._Mime,Psychic,Fairy,460,40,45,65,100,120,90,1,False,Pink,True,0.5,Human-Like,,False,1.30,54.5,45,bipedal_tailless
123,Scyther,Bug,Flying,500,70,110,80,55,80,105,1,False,Green,True,0.5,Bug,,False,1.50,56.0,45,four_wings
124,Jynx,Ice,Psychic,455,65,50,35,115,95,95,1,False,Red,True,0,Human-Like,,False,1.40,40.6,45,bipedal_tailless
125,Electabuzz,Electric,,490,65,83,57,95,85,105,1,False,Yellow,True,0.75,Human-Like,,False,1.09,30.0,45,bipedal_tailed
126,Magmar,Fire,,495,65,95,57,100,85,93,1,False,Red,True,0.75,Human-Like,,False,1.30,44.5,45,bipedal_tailed
127,Pinsir,Bug,,500,65,125,100,55,70,85,1,False,Brown,True,0.5,Bug,,True,1.50,55.0,45,bipedal_tailless
128,Tauros,Normal,,490,75,100,95,40,70,110,1,False,Brown,True,1,Field,,False,1.40,88.4,45,quadruped
129,Magikarp,Water,,200,20,10,55,15,20,80,1,False,Red,True,0.5,Water_2,Dragon,False,0.89,10.0,255,with_fins
130,Gyarados,Water,Flying,540,95,125,79,60,100,81,1,False,Blue,True,0.5,Water_2,Dragon,True,6.50,235.0,45,serpentine_body
131,Lapras,Water,Ice,535,130,85,80,85,95,60,1,False,Blue,True,0.5,Monster,Water_1,False,2.49,220.0,45,with_fins
132,Ditto,Normal,,288,48,48,48,48,48,48,1,False,Purple,False,,Ditto,,False,0.30,4.0,35,head_only
133,Eevee,Normal,,325,55,55,50,45,65,55,1,False,Brown,True,0.875,Field,,False,0.30,6.5,45,quadruped
134,Vaporeon,Water,,525,130,65,60,110,95,65,1,False,Blue,True,0.875,Field,,False,0.99,29.0,45,quadruped
135,Jolteon,Electric,,525,65,65,60,110,95,130,1,False,Yellow,True,0.875,Field,,False,0.79,24.5,45,quadruped
136,Flareon,Fire,,525,65,130,60,95,110,65,1,False,Red,True,0.875,Field,,False,0.89,25.0,45,quadruped
137,Porygon,Normal,,395,65,60,70,85,75,40,1,False,Pink,False,,Mineral,,False,0.79,36.5,45,head_legs
138,Omanyte,Rock,Water,355,35,40,100,90,55,35,1,False,Blue,True,0.875,Water_1,Water_3,False,0.41,7.5,45,several_limbs
139,Omastar,Rock,Water,495,70,60,125,115,70,55,1,False,Blue,True,0.875,Water_1,Water_3,False,0.99,35.0,45,several_limbs
140,Kabuto,Rock,Water,355,30,80,90,55,45,55,1,False,Brown,True,0.875,Water_1,Water_3,False,0.51,11.5,45,insectoid
141,Kabutops,Rock,Water,495,60,115,105,65,70,80,1,False,Brown,True,0.875,Water_1,Water_3,False,1.30,40.5,45,bipedal_tailed
142,Aerodactyl,Rock,Flying,515,80,105,65,60,75,130,1,False,Purple,True,0.875,Flying,,True,1.80,59.0,45,two_wings
143,Snorlax,Normal,,540,160,110,65,65,110,30,1,False,Black,True,0.875,Monster,,False,2.11,460.0,25,bipedal_tailless
144,Articuno,Ice,Flying,580,90,85,100,95,125,85,1,True,Blue,False,,Undiscovered,,False,1.70,55.4,3,two_wings
145,Zapdos,Electric,Flying,580,90,90,85,125,90,100,1,True,Yellow,False,,Undiscovered,,False,1.60,52.6,3,two_wings
146,Moltres,Fire,Flying,580,90,100,90,125,85,90,1,True,Yellow,False,,Undiscovered,,False,2.01,60.0,3,two_wings
147,Dratini,Dragon,,300,41,64,45,50,50,50,1,False,Blue,True,0.5,Water_1,Dragon,False,1.80,3.3,45,serpentine_body
148,Dragonair,Dragon,,420,61,84,65,70,70,70,1,False,Blue,True,0.5,Water_1,Dragon,False,3.99,16.5,45,serpentine_body
149,Dragonite,Dragon,Flying,600,91,134,95,100,100,80,1,False,Brown,True,0.5,Water_1,Dragon,False,2.21,210.0,45,bipedal_tailed
150,Mewtwo,Psychic,,680,106,110,90,154,90,130,1,True,Purple,False,,Undiscovered,,True,2.01,122.0,3,bipedal_tailed
151,Mew,Psychic,,600,100,100,100,100,100,100,1,False,Pink,False,,Undiscovered,,False,0.41,4.0,45,bipedal_tailed
152,Chikorita,Grass,,318,45,49,65,49,65,45,2,False,Green,True,0.875,Monster,Grass,False,0.89,6.4,45,quadruped
153,Bayleef,Grass,,405,60,62,80,63,80,60,2,False,Green,True,0.875,Monster,Grass,False,1.19,15.8,45,quadruped
154,Meganium,Grass,,525,80,82,100,83,100,80,2,False,Green,True,0.875,Monster,Grass,False,1.80,100.5,45,quadruped
155,Cyndaquil,Fire,,309,39,52,43,60,50,65,2,False,Yellow,True,0.875,Field,,False,0.51,7.9,45,bipedal_tailless
156,Quilava,Fire,,405,58,64,58,80,65,80,2,False,Yellow,True,0.875,Field,,False,0.89,19.0,45,quadruped
157,Typhlosion,Fire,,534,78,84,78,109,85,100,2,False,Yellow,True,0.875,Field,,False,1.70,79.5,45,quadruped
158,Totodile,Water,,314,50,65,64,44,48,43,2,False,Blue,True,0.875,Monster,Water_1,False,0.61,9.5,45,bipedal_tailed
159,Croconaw,Water,,405,65,80,80,59,63,58,2,False,Blue,True,0.875,Monster,Water_1,False,1.09,25.0,45,bipedal_tailed
160,Feraligatr,Water,,530,85,105,100,79,83,78,2,False,Blue,True,0.875,Monster,Water_1,False,2.31,88.8,45,bipedal_tailed
161,Sentret,Normal,,215,35,46,34,35,45,20,2,False,Brown,True,0.5,Field,,False,0.79,6.0,255,quadruped
162,Furret,Normal,,415,85,76,64,45,55,90,2,False,Brown,True,0.5,Field,,False,1.80,32.5,90,quadruped
163,Hoothoot,Normal,Flying,262,60,30,30,36,56,50,2,False,Brown,True,0.5,Flying,,False,0.71,21.2,255,two_wings
164,Noctowl,Normal,Flying,442,100,50,50,76,96,70,2,False,Brown,True,0.5,Flying,,False,1.60,40.8,90,two_wings
165,Ledyba,Bug,Flying,265,40,20,30,40,80,55,2,False,Red,True,0.5,Bug,,False,0.99,10.8,255,two_wings
166,Ledian,Bug,Flying,390,55,35,50,55,110,85,2,False,Red,True,0.5,Bug,,False,1.40,35.6,90,two_wings
167,Spinarak,Bug,Poison,250,40,60,40,40,40,30,2,False,Green,True,0.5,Bug,,False,0.51,8.5,255,insectoid
168,Ariados,Bug,Poison,390,70,90,70,60,60,40,2,False,Red,True,0.5,Bug,,False,1.09,33.5,90,insectoid
169,Crobat,Poison,Flying,535,85,90,80,70,80,130,2,False,Purple,True,0.5,Flying,,False,1.80,75.0,90,four_wings
170,Chinchou,Water,Electric,330,75,38,38,56,56,67,2,False,Blue,True,0.5,Water_2,,False,0.51,12.0,190,with_fins
171,Lanturn,Water,Electric,460,125,58,58,76,76,67,2,False,Blue,True,0.5,Water_2,,False,1.19,22.5,75,with_fins
172,Pichu,Electric,,205,20,40,15,35,35,60,2,False,Yellow,True,0.5,Undiscovered,,False,0.30,2.0,190,quadruped
173,Cleffa,Fairy,,218,50,25,28,45,55,15,2,False,Pink,True,0.25,Undiscovered,,False,0.30,3.0,150,bipedal_tailed
174,Igglybuff,Normal,Fairy,210,90,30,15,40,20,15,2,False,Pink,True,0.25,Undiscovered,,False,0.30,1.0,170,bipedal_tailless
175,Togepi,Fairy,,245,35,20,65,40,65,20,2,False,White,True,0.875,Undiscovered,,False,0.30,1.5,190,bipedal_tailless
176,Togetic,Fairy,Flying,405,55,40,85,80,105,40,2,False,White,True,0.875,Flying,Fairy,False,0.61,3.2,75,bipedal_tailless
177,Natu,Psychic,Flying,320,40,50,45,70,45,70,2,False,Green,True,0.5,Flying,,False,0.20,2.0,190,two_wings
178,Xatu,Psychic,Flying,470,65,75,70,95,70,95,2,False,Green,True,0.5,Flying,,False,1.50,15.0,75,two_wings
179,Mareep,Electric,,280,55,40,40,65,45,35,2,False,White,True,0.5,Monster,Field,False,0.61,7.8,235,quadruped
180,Flaaffy,Electric,,365,70,55,55,80,60,45,2,False,Pink,True,0.5,Monster,Field,False,0.79,13.3,120,bipedal_tailed
181,Ampharos,Electric,,510,90,75,85,115,90,55,2,False,Yellow,True,0.5,Monster,Field,True,1.40,61.5,45,bipedal_tailed
182,Bellossom,Grass,,490,75,80,95,90,100,50,2,False,Green,True,0.5,Grass,,False,0.41,5.8,45,bipedal_tailless
183,Marill,Water,Fairy,250,70,20,50,20,50,40,2,False,Blue,True,0.5,Water_1,Fairy,False,0.41,8.5,190,bipedal_tailed
184,Azumarill,Water,Fairy,420,100,50,80,60,80,50,2,False,Blue,True,0.5,Water_1,Fairy,False,0.79,28.5,75,bipedal_tailed
185,Sudowoodo,Rock,,410,70,100,115,30,65,30,2,False,Brown,True,0.5,Mineral,,False,1.19,38.0,65,bipedal_tailless
186,Politoed,Water,,500,90,75,75,90,100,70,2,False,Green,True,0.5,Water_1,,False,1.09,33.9,45,bipedal_tailed
187,Hoppip,Grass,Flying,250,35,35,40,35,55,50,2,False,Pink,True,0.5,Fairy,Grass,False,0.41,0.5,255,bipedal_tailed
188,Skiploom,Grass,Flying,340,55,45,50,45,65,80,2,False,Green,True,0.5,Fairy,Grass,False,0.61,1.0,120,bipedal_tailed
189,Jumpluff,Grass,Flying,460,75,55,70,55,95,110,2,False,Blue,True,0.5,Fairy,Grass,False,0.79,3.0,45,bipedal_tailed
190,Aipom,Normal,,360,55,70,55,40,55,85,2,False,Purple,True,0.5,Field,,False,0.79,11.5,45,bipedal_tailed
191,Sunkern,Grass,,180,30,30,30,30,30,30,2,False,Yellow,True,0.5,Grass,,False,0.30,1.8,235,head_only
192,Sunflora,Grass,,425,75,75,55,105,85,30,2,False,Yellow,True,0.5,Grass,,False,0.79,8.5,120,bipedal_tailless
193,Yanma,Bug,Flying,390,65,65,45,75,45,95,2,False,Red,True,0.5,Bug,,False,1.19,38.0,75,four_wings
194,Wooper,Water,Ground,210,55,45,45,25,25,15,2,False,Blue,True,0.5,Water_1,Field,False,0.41,8.5,255,head_legs
195,Quagsire,Water,Ground,430,95,85,85,65,65,35,2,False,Blue,True,0.5,Water_1,Field,False,1.40,75.0,90,bipedal_tailed
196,Espeon,Psychic,,525,65,65,60,130,95,110,2,False,Purple,True,0.875,Field,,False,0.89,26.5,45,quadruped
197,Umbreon,Dark,,525,95,65,110,60,130,65,2,False,Black,True,0.875,Field,,False,0.99,27.0,45,quadruped
198,Murkrow,Dark,Flying,405,60,85,42,85,42,91,2,False,Black,True,0.5,Flying,,False,0.51,2.1,30,two_wings
199,Slowking,Water,Psychic,490,95,75,80,100,110,30,2,False,Pink,True,0.5,Monster,Water_1,False,2.01,79.5,70,bipedal_tailed
200,Misdreavus,Ghost,,435,60,60,60,85,85,85,2,False,Purple,True,0.5,Amorphous,,False,0.71,1.0,45,head_only
201,Unown,Psychic,,336,48,72,48,72,48,48,2,False,Black,False,,Undiscovered,,False,0.51,5.0,225,head_only
202,Wobbuffet,Psychic,,405,190,33,58,33,58,33,2,False,Blue,True,0.5,Amorphous,,False,1.30,28.5,45,head_base
203,Girafarig,Normal,Psychic,455,70,80,65,90,65,85,2,False,Yellow,True,0.5,Field,,False,1.50,41.5,60,quadruped
204,Pineco,Bug,,290,50,65,90,35,35,15,2,False,Grey,True,0.5,Bug,,False,0.61,7.2,190,head_only
205,Forretress,Bug,Steel,465,75,90,140,60,60,40,2,False,Purple,True,0.5,Bug,,False,1.19,125.8,75,head_only
206,Dunsparce,Normal,,415,100,70,70,65,65,45,2,False,Yellow,True,0.5,Field,,False,1.50,14.0,190,serpentine_body
